Real_Hs,Predicted_Hs
0.16666667,0.1865761
0.13333334,0.22511682
0.1,0.25094256
0.13333334,0.24898556
0.16666667,0.24086723
0.2,0.23986864
0.2,0.24257722
0.2,0.22519886
0.2,0.2163969
0.2,0.21277408
0.2,0.23295943
0.2,0.25770402
0.2,0.28069845
0.2,0.2678753
0.2,0.23822297
0.23333332,0.20697708
0.26666668,0.17730875
0.3,0.15960072
0.3,0.119506106
0.3,0.09154941
0.3,0.07897314
0.3,0.0953802
0.3,0.13457836
0.3,0.17712674
0.3,0.21784951
0.3,0.24825498
0.3,0.2684117
0.33333334,0.27112532
0.36666667,0.27022535
0.4,0.2745405
0.4,0.29587108
0.4,0.3049511
0.4,0.2886152
0.36666667,0.26299512
0.33333334,0.26741248
0.3,0.25757822
0.3,0.25548938
0.3,0.2654682
0.3,0.27328607
0.3,0.27445912
0.3,0.26157323
0.3,0.23494661
0.3,0.20937966
0.3,0.19207084
0.3,0.18991317
0.26666668,0.16271871
0.23333332,0.13678138
0.2,0.09034523
0.23333332,0.06829604
0.26666668,0.07815939
0.3,0.09345019
0.26666668,0.11928054
0.23333332,0.16487898
0.2,0.21157598
0.2,0.2768007
0.2,0.28181005
0.2,0.27512383
0.2,0.28828543
0.2,0.2976234
0.2,0.3053812
0.2,0.2877931
0.2,0.25778502
0.2,0.21539989
0.23333332,0.19805768
0.26666668,0.2111134
0.3,0.25316304
0.3,0.27515832
0.3,0.27656066
0.3,0.27413613
0.36666667,0.28115052
0.43333334,0.28570646
0.5,0.2739631
0.43333334,0.25916126
0.36666667,0.2404889
0.3,0.24464406
0.26666668,0.25156826
0.23333332,0.23902465
0.2,0.22370769
0.2,0.20813537
0.2,0.20314662
0.2,0.19026312
0.2,0.18307859
0.2,0.17981455
0.2,0.18447505
0.23333332,0.21363674
0.26666668,0.25773922
0.3,0.3080638
0.4,0.3755365
0.5,0.43373102
0.6,0.486835
0.6,0.5107992
0.6,0.5141499
0.6,0.51217884
0.56666666,0.52429986
0.53333336,0.5681874
0.5,0.58342916
0.43333334,0.5885232
0.36666667,0.56399226
0.3,0.53889185
0.3,0.5027621
0.3,0.47818074
0.3,0.44627813
0.26666668,0.4169111
0.23333332,0.38162157
0.2,0.36142564
0.2,0.35983926
0.2,0.36373138
0.2,0.36147815
0.2,0.35380512
0.2,0.34499785
0.2,0.34249848
0.26666668,0.37639755
0.33333334,0.42920867
0.4,0.472111
0.43333334,0.5100057
0.46666664,0.517671
0.5,0.5346187
0.46666664,0.5435658
0.43333334,0.55481666
0.4,0.53660864
0.36666667,0.4958534
0.33333334,0.43088293
0.3,0.38191366
0.26666668,0.34296063
0.23333332,0.31646106
0.2,0.3113605
0.23333332,0.30443445
0.26666668,0.30980906
0.3,0.30230427
0.26666668,0.31505686
0.23333332,0.34630537
0.2,0.38223994
0.2,0.4075728
0.2,0.42572668
0.2,0.43126383
0.2,0.44841182
0.2,0.42651346
0.2,0.46403965
0.23333332,0.48727828
0.26666668,0.523167
0.3,0.544338
0.26666668,0.56250435
0.23333332,0.5455716
0.2,0.51848453
0.2,0.49588794
0.2,0.47934315
0.2,0.45981082
0.2,0.43701467
0.2,0.40944567
0.2,0.3904359
0.2,0.39304963
0.2,0.40243837
0.2,0.40333572
0.2,0.40926635
0.2,0.4285857
0.2,0.45014602
0.16666667,0.4742953
0.13333334,0.4809422
0.1,0.46991116
0.1,0.4467261
0.1,0.4251928
0.1,0.42742634
0.2,0.4220737
0.3,0.4252584
0.4,0.43209136
0.4,0.44772038
0.4,0.46978974
0.4,0.4642516
0.36666667,0.4459677
0.33333334,0.40068477
0.3,0.3559032
0.26666668,0.2990757
0.23333332,0.25593683
0.2,0.26197436
0.23333332,0.28669184
0.26666668,0.31054518
0.3,0.3317704
0.26666668,0.33851573
0.23333332,0.31456065
0.2,0.3087537
0.16666667,0.31895947
0.13333334,0.34731627
0.1,0.35728335
0.13333334,0.35145077
0.16666667,0.33206898
0.2,0.34220022
0.36666667,0.38015044
0.53333336,0.4292205
0.7,0.48468617
0.6,0.5467766
0.5,0.59513664
0.4,0.6040934
0.33333334,0.5652398
0.26666668,0.5281029
0.2,0.48667786
0.2,0.4301317
0.2,0.39144236
0.2,0.38884017
0.2,0.39711392
0.2,0.4250383
0.2,0.446968
0.2,0.47082034
0.2,0.46480906
0.2,0.47035998
0.16666667,0.4824152
0.13333334,0.4846957
0.1,0.48053622
0.46666664,0.9147295
0.43333334,0.8426253
0.4,0.7738133
0.43333334,0.7738251
0.46666664,0.7769296
0.5,0.71477973
0.5,0.67529476
0.5,0.6274181
0.5,0.6250763
0.5,0.6303662
0.5,0.64941347
0.5,0.65182054
0.46666664,0.6667125
0.43333334,0.680861
0.4,0.7159747
0.4,0.7560094
0.4,0.7649325
0.4,0.7865195
0.43333334,0.8187709
0.46666664,0.8356379
0.5,0.8383681
0.56666666,0.8922208
0.6333333,0.9422592
0.7,0.9167119
0.6666667,0.87228346
0.6333333,0.7642758
0.6,0.6876883
0.6,0.65761405
0.6,0.63640696
0.6,0.61512685
0.56666666,0.6284619
0.53333336,0.6135603
0.5,0.62121385
0.46666664,0.6060509
0.43333334,0.62738466
0.4,0.651625
0.43333334,0.6670255
0.46666664,0.6888143
0.5,0.70473605
0.56666666,0.7324742
0.6333333,0.74406374
0.7,0.7439012
0.6666667,0.7427341
0.6333333,0.7373143
0.6,0.7222416
0.6,0.73787856
0.6,0.75021374
0.6,0.7268068
0.6333333,0.7095488
0.6666667,0.69093895
0.7,0.6781539
0.6666667,0.6961758
0.6333333,0.7208378
0.6,0.7730265
0.6333333,0.8228976
0.6666667,0.84401345
0.7,0.88408023
0.76666665,0.920327
0.8333333,0.9540387
0.9,0.9820864
0.8666667,1.0022142
0.8333333,1.0076385
0.8,0.9861045
0.8,0.9514005
0.8,0.920342
0.8,0.8918949
0.76666665,0.8413386
0.73333335,0.76561826
0.7,0.69876266
0.7,0.6450162
0.7,0.58571714
0.7,0.5493905
0.7,0.52472615
0.7,0.48540604
0.7,0.45843685
0.6666667,0.45644987
0.6333333,0.4917646
0.6,0.53177214
0.56666666,0.5723183
0.53333336,0.5936349
0.5,0.61865
0.56666666,0.6684958
0.6333333,0.75244313
0.7,0.77810025
0.6666667,0.7883691
0.6333333,0.7799255
0.6,0.7528787
0.56666666,0.7580529
0.53333336,0.786106
0.5,0.8324767
0.56666666,0.86528456
0.6333333,0.9102243
0.7,0.92003804
0.76666665,0.93931854
0.8333333,0.9969819
0.9,1.058515
1.0333333,1.1310685
1.1666666,1.2301961
1.3,1.3324704
1.4333333,1.4215562
1.5666667,1.4871019
1.6999999,1.5756123
1.7999998,1.7710394
1.8999997,2.0105932
2.0,2.2632318
2.0666666,2.4198046
2.1333332,2.5020096
2.1999998,2.5097158
2.1333332,2.4824626
